Wordform_GS2	Lemma_GS2	POS_GS2	Gram_GS2
аудио-	аудиозапись	S	acc,f,pl
и	и	CONJ	
(			
или	или	CONJ	
)			
видеозаписи	видеозапись	S	acc,f,pl
на	на	PR	
электронном	электронный	A	loc,m,sg
или	или	CONJ	
ином	иной	A	loc,m,sg
носителе	носитель	S	loc,m,sg
либо	либо	CONJ	
ходатайствующее	ходатайствовать	V	act,n,nom,partcp,pres,sg
об	об	PR	
их	их	APRO	
истребовании	истребование	S	loc,n,sg
,			
обязано	обязать	V	brev,n,partcp,pass,past,sg
указать	указать	V	inf
,			
когда	когда	ADV	
,			
кем	кто	SPRO	ins
и	и	CONJ	
в	в	PR	
каких	какой	APRO	loc,pl
условиях	условие	S	loc,n,pl
осуществлялись	осуществляться	V	past,pl
записи	запись	S	f,nom,sg
.			
Решения	решение	S	n,nom,pl
нижестоящей	нижестоящий	A	f,gen,sg
комиссии	комиссия	S	f,gen,sg
по	по	PR	
проведению	проведение	S	dat,n,sg
референдума	референдум	S	gen,m,sg
Российской	Российский	A	f,gen,sg
Федерации	Федерация	S	f,gen,sg
могут	мочь	V	3p,pl,pres
быть	быть	V	inf
отменены	отменить	V	brev,partcp,pass,past,pl
,			
а	а	CONJ	
ее	ее	APRO	
действия	действие	S	n,nom,pl
могут	мочь	V	3p,pl,pres
быть	быть	V	inf
приостановлены	приостановить	V	brev,partcp,pass,past,pl
вышестоящей	вышестоящий	A	f,ins,sg
комиссией	комиссия	S	f,ins,sg
по	по	PR	
проведению	проведение	S	dat,n,sg
референдума	референдум	S	gen,m,sg
Российской	Российский	A	f,gen,sg
Федерации	Федерация	S	f,gen,sg
.			
Решение	решение	S	n,nom,sg
,			
принятое	принять	V	n,nom,partcp,pass,past,sg
на	на	PR	
референдуме	референдум	S	loc,m,sg
Российской	Российский	A	f,gen,sg
Федерации	Федерация	S	f,gen,sg
,			
является	являться	V	3p,pres,sg
общеобязательным	общеобязательный	A	ins,n,sg
и	и	CONJ	
не	не	ADV	
нуждается	нуждаться	V	3p,pres,sg
в	в	PR	
дополнительном	дополнительный	A	loc,n,sg
утверждении	утверждение	S	loc,n,sg
.			
Статья	статья	S	f,nom,sg
86.3.3.			
Обособленные	обособить	V	nom,partcp,pass,past,pl
водные	водный	A	nom,pl
объекты	объект	S	m,nom,pl
,			
находящиеся	находиться	V	act,nom,partcp,pl,pres
в	в	PR	
собственности	собственность	S	f,loc,sg
граждан	гражданин	S	gen,m,pl
или	или	CONJ	
юридических	юридический	A	gen,pl
лиц	лицо	S	gen,n,pl
,			
в	в	PR	
установленном	установить	V	loc,m,partcp,pass,past,sg
порядке	порядок	S	loc,m,sg
могут	мочь	V	3p,pl,pres
использоваться	использоваться	V	inf
как	как	CONJ	
водные	водный	A	nom,pl
объекты	объект	S	m,nom,pl
общего	общий	A	gen,n,sg
пользования	пользование	S	gen,n,sg
только	только	ADV	
при	при	PR	
условиях	условие	S	loc,n,pl
регистрации	регистрация	S	f,gen,sg
данного	данный	A	gen,n,sg
ограничения	ограничение	S	gen,n,sg
права	право	S	gen,n,sg
собственности	собственность	S	f,gen,sg
на	на	PR	
обособленные	обособить	V	acc,partcp,pass,past,pl
водные	водный	A	acc,pl
объекты	объект	S	acc,m,pl
в	в	PR	
едином	единый	A	loc,m,sg
государственном	государственный	A	loc,m,sg
реестре	реестр	S	loc,m,sg
и	и	CONJ	
выплаты	выплата	S	f,gen,sg
вознаграждения	вознаграждение	S	gen,n,sg
собственнику	собственник	S	dat,m,sg
.			
Государственный	государственный	A	m,nom,sg
мониторинг	мониторинг	S	m,nom,sg
водных	водный	A	gen,pl
объектов	объект	S	gen,m,pl
ведется	вестись	V	3p,pres,sg
специально	специально	ADV	
уполномоченным	уполномочить	V	ins,m,partcp,pass,past,sg
государственным	государственный	A	ins,m,sg
органом	орган	S	ins,m,sg
управления	управление	S	gen,n,sg
использованием	использование	S	ins,n,sg
и	и	CONJ	
охраной	охрана	S	f,ins,sg
водного	водный	A	gen,m,sg
фонда	фонд	S	gen,m,sg
совместно	совместно	ADV	
со	со	PR	
специально	специально	ADV	
уполномоченными	уполномочить	V	ins,partcp,pass,past,pl
государственными	государственный	A	ins,pl
органами	орган	S	ins,m,pl
в	в	PR	
области	область	S	f,loc,sg
охраны	охрана	S	f,gen,sg
окружающей	окружать	V	act,f,gen,partcp,pres,sg
природной	природный	A	f,gen,sg
среды	среда	S	f,gen,sg
,			
с	с	PR	
государственным	государственный	A	ins,m,sg
органом	орган	S	ins,m,sg
управления	управление	S	gen,n,sg
в	в	PR	
области	область	S	f,loc,sg
гидрометеорологии	гидрометеорология	S	f,gen,sg
и	и	CONJ	
мониторинга	мониторинг	S	gen,m,sg
окружающей	окружать	V	act,f,gen,partcp,pres,sg
среды	среда	S	f,gen,sg
(			
по	по	PR	
поверхностным	поверхностный	A	dat,pl
водным	водный	A	dat,pl
объектам	объект	S	dat,m,pl
)			
и	и	CONJ	
государственным	государственный	A	ins,m,sg
органом	орган	S	ins,m,sg
управления	управление	S	gen,n,sg
использованием	использование	S	ins,n,sg
и	и	CONJ	
охраной	охрана	S	f,ins,sg
недр	недра	S	gen,pl
(			
по	по	PR	
подземным	подземный	A	dat,pl
водным	водный	A	dat,pl
объектам	объект	S	dat,m,pl
).			
Фиктивное	фиктивный	A	n,nom,sg
или	или	CONJ	
преднамеренное	преднамеренный	A	n,nom,sg
банкротство	банкротство	S	n,nom,sg
Осуществление	осуществление	S	n,nom,sg
дисквалифицированным	дисквалифицированный	A	ins,n,sg
лицом	лицо	S	ins,n,sg
в	в	PR	
течение	течение	S	acc,n,sg
срока	срок	S	gen,m,sg
дисквалификации	дисквалификация	S	f,gen,sg
деятельности	деятельность	S	f,gen,sg
по	по	PR	
управлению	управление	S	dat,n,sg
юридическим	юридический	A	ins,n,sg
лицом	лицо	S	ins,n,sg
--			
влечет	влечь	V	3p,pres,sg
наложение	наложение	S	acc,n,sg
административного	административный	A	gen,m,sg
штрафа	штраф	S	gen,m,sg
в	в	PR	
размере	размер	S	loc,m,sg
пятидесяти	пятьдесят	NUM	gen
минимальных	минимальный	A	gen,pl
размеров	размер	S	gen,m,pl
оплаты	оплата	S	f,gen,sg
труда	труд	S	gen,m,sg
.			
В	в	PR	
ИСПАНИИ	Испания	S	f,loc,sg
Я	я	SPRO	1p,nom,sg
ДУМАЮ	думать	V	1p,pres,sg
У	у	PR	
УНИКАХИ	Уникаха	S	f,gen,sg
,			
ТАУ	Тау	S	gen,m,sg
И	и	CONJ	
БАРСЫ	Барса	S	f,gen,sg
ШАНСЫ	шанс	S	m,nom,pl
ОДИНАКОВЫЕ	одинаковый	A	nom,pl
-			
НО	но	CONJ	
СТАВЛЮ	ставить	V	1p,pres,sg
НА	на	PR	
УНИКАХУ	Уникаха	S	acc,f,sg
-			
БРАУН	Браун	S	m,nom,sg
ВПЕРЁД	вперед	ADV	
!			
!!			
Чувство	чувство	S	n,nom,sg
ностальгии	ностальгия	S	f,gen,sg
охватило	охватить	V	n,past,sg
с	с	PR	
особенной	особенный	A	f,ins,sg
силой	сила	S	f,ins,sg
.			
..			
скачал	скачать	V	m,past,sg
эмулятор	эмулятор	S	acc,m,sg
Денди	Денди	S	gen,m,sg
и	и	CONJ	
пяток	пяток	S	acc,m,sg
диснеевских	диснеевский	A	gen,pl
игр	игра	S	f,gen,pl
.			
..			
Плачу	плакать	V	1p,pres,sg
от	от	PR	
умиления	умиление	S	gen,n,sg
.			
СКАЖИ	сказать	V	2p,imper,sg
НАРКОТИКАМ	наркотик	S	dat,m,pl
НЕТ	нет	ADV	
Скажи	сказать	V	2p,imper,sg
наркотикам	наркотик	S	dat,m,pl
:			
«			
Трям	трям	ADV	
!			
"			
Скажи	сказать	V	2p,imper,sg
наркотикам	наркотик	S	dat,m,pl
:			
«			
Чпок	чпок	ADV	
!			
"			
Своди	сводить	V	2p,imper,sg
наркотики	наркотик	S	acc,m,pl
в	в	PR	
цирк	цирк	S	acc,m,sg
.			
Муж	муж	S	m,nom,sg
работает	работать	V	3p,pres,sg
на	на	PR	
дому	дом	S	loc,m,sg
(			
программер	программер	S	m,nom,sg
),			
часто	часто	ADV	
выезжает	выезжать	V	3p,pres,sg
по	по	PR	
делам	дело	S	dat,n,pl
или	или	CONJ	
просто	просто	ADV	
потусить	потусить	V	inf
.			
"			
Прежде	прежде	ADV	
мы	мы	SPRO	1p,nom,pl
оперировали	оперировать	V	past,pl
категориями	категория	S	f,ins,pl
товаров	товар	S	gen,m,pl
,			
которые	который	APRO	acc,m,pl
необходимо	необходимо	ADV	
продвигать	продвигать	V	inf
.			
Теперь	теперь	ADV	
стремимся	стремиться	V	1p,pl,pres
оперировать	оперировать	V	inf
финансовыми	финансовый	A	ins,pl
показателями	показатель	S	ins,m,pl
,			
чтобы	чтобы	CONJ	
лучше	хорошо	ADV	comp
видеть	видеть	V	inf
выгодность	выгодность	S	acc,f,sg
и	и	CONJ	
перспективность	перспективность	S	acc,f,sg
того	тот	APRO	gen,n,sg
или	или	CONJ	
иного	иной	APRO	gen,n,sg
направления	направление	S	gen,n,sg
.			
Мы	мы	SPRO	1p,nom,pl
уже	уже	ADV	
выяснили	выяснить	V	past,pl
,			
что	что	CONJ	
некоторые	некоторый	APRO	n,nom,pl
из	из	PR	
них	они	SPRO	3p,gen,pl
не	не	ADV	
настолько	настолько	ADV	
выгодны	выгодный	A	nom,pl
,			
как	как	CONJ	
казалось	казаться	V	n,past,sg
раньше	раньше	ADV	
"			
,			
пояснил	пояснить	V	m,past,sg
Краснов	Краснов	S	m,nom,sg
новую	новый	A	acc,f,sg
стратегию	стратегия	S	acc,f,sg
.			
Какими	какой	APRO	f,ins,pl
вы	вы	SPRO	2p,nom,pl
видите	видеть	V	2p,pl,pres
свои	свой	APRO	f,nom,pl
перспективы	перспектива	S	f,nom,pl
в	в	PR	
этой	этот	APRO	f,loc,sg
области	область	S	f,loc,sg
?			
В	в	PR	
двух	два	NUM	f,loc
72			
-			
часовых	часовой	A	loc,pl
сессиях	сессия	S	f,loc,pl
InnovationJam			
,			
проведенных	провести	V	loc,partcp,pass,past,pl
по	по	PR	
Internet			
,			
приняло	принять	V	n,past,sg
участие	участие	S	acc,n,sg
около	около	PR	
105			
тыс	тыс	S	gen
.			
человек	человек	S	gen,m,pl
из	из	PR	
104			
стран	страна	S	f,gen,pl
,			
в	в	PR	
том	то	APRO	loc,n,sg
числе	число	S	loc,n,sg
служащие	служащий	S	m,nom,pl
IBM			
,			
члены	член	S	m,nom,pl
их	их	APRO	
семей	семья	S	f,gen,pl
,			
а	а	CONJ	
также	также	ADV	
сотрудники	сотрудник	S	m,nom,pl
университетов	университет	S	gen,m,pl
,			
клиенты	клиент	S	m,nom,pl
корпорации	корпорация	S	f,gen,sg
и	и	CONJ	
ее	ее	APRO	
бизнес-партнеры	бизнес-партнер	S	m,nom,pl
.			
Особые	особый	A	nom,pl
экономические	экономический	A	nom,pl
зоны	зона	S	f,nom,pl
-			
новый	новый	A	m,nom,sg
механизм	механизм	S	m,nom,sg
государственно-частного	государственно-частный	A	gen,n,sg
партнерства	партнерство	S	gen,n,sg
.			
Заставить	заставить	V	inf
все	весь	APRO	acc,n,sg
это	это	SPRO	acc,n,sg
работать	работать	V	inf
на	на	PR	
медном	медный	A	loc,m,sg
кабеле	кабель	S	loc,m,sg
окажется	оказаться	V	3p,pres,sg
еще	еще	ADV	
труднее	труднее	ADV	
,			
чем	чем	CONJ	
раньше	раньше	ADV	
,			
но	но	CONJ	
и	и	CONJ	
говорить	говорить	V	inf
о	о	PR	
невозможности	невозможность	S	f,loc,sg
получения	получение	S	gen,n,sg
подобных	подобный	A	gen,pl
решений	решение	S	gen,n,pl
пока	пока	ADV	
преждевременно	преждевременно	ADV	
,			
поскольку	поскольку	CONJ	
технологии	технология	S	f,nom,pl
совершенствуются	совершенствоваться	V	3p,pl,pres
непрерывно	непрерывно	ADV	
.			
Вследствие	вследствие	PR	
своей	свой	APRO	f,gen,sg
важности	важность	S	f,gen,sg
деятельность	деятельность	S	f,nom,sg
метрополитена	метрополитен	S	gen,m,sg
жестко	жестко	ADV	
регламентирована	регламентировать	V	f,nom,partcp,pass,past,sg
российским	российский	A	ins,m,sg
законодательством	законодательство	S	ins,n,sg
.			
Она	она	SPRO	3p,f,nom,sg
была	быть	V	f,past,sg
представлена	представить	V	f,nom,partcp,pass,past,sg
как	как	CONJ	
оптимальное	оптимальный	A	acc,n,sg
решение	решение	S	n,acc,sg
для	для	PR	
небольших	небольшой	A	gen,pl
центров	центр	S	gen,m,pl
обработки	обработка	S	f,gen,sg
данных	данные	S	gen,pl
либо	либо	CONJ	
как	как	CONJ	
дополнение	дополнение	S	acc,n,sg
к	к	PR	
уже	уже	ADV	
существующей	существовать	V	act,dat,f,partcp,pres,sg
системе	система	S	dat,f,sg
охлаждения	охлаждение	S	gen,n,sg
,			
не	не	ADV	
изменяющее	изменять	V	acc,act,n,partcp,pres,sg
инфраструктуру	инфраструктура	S	acc,f,sg
.			
По	по	PR	
словам	слово	S	dat,n,pl
Кеоуэна	Кеоуэн	S	gen,m,sg
,			
производители	производитель	S	m,nom,pl
начнут	начать	V	3p,pl,pres
продавать	продавать	V	inf
телевизоры	телевизор	S	acc,m,pl
и	и	CONJ	
телекоммуникационные	телекоммуникационный	A	acc,pl
устройства	устройство	S	acc,n,pl
с	с	PR	
поддержкой	поддержка	S	f,ins,sg
технологии	технология	S	f,gen,sg
UWB			
уже	уже	ADV	
в	в	PR	
текущем	текущий	A	loc,m,sg
году	год	S	loc,m,sg
.			
При	при	PR	
этом	это	SPRO	loc,n,sg
мы	мы	SPRO	1p,nom,pl
-			
глобальная	глобальный	A	f,nom,sg
компания	компания	S	f,nom,sg
со	со	PR	
штаб-квартирой	штаб-квартира	S	f,ins,sg
в	в	PR	
США	США	S	loc,m,pl
.			
На	на	PR	
глобальном	глобальный	A	loc,m,sg
уровне	уровень	S	loc,m,sg
HP			
блестяще	блестяще	ADV	
справляется	справляться	V	3p,pres,sg
со	со	PR	
снижением	снижение	S	ins,m,sg
операционных	операционный	A	gen,pl
расходов	расход	S	gen,m,pl
:			
на	на	PR	
ИТ	ИТ	S	acc,f,pl
,			
помещения	помещение	S	acc,n,pl
,			
управление	управление	S	acc,n,sg
.			
Кроме	кроме	PR	
того	то	SPRO	gen,n,sg
,			
на	на	PR	
первую	первый	ANUM	acc,f,sg
половину	половина	S	acc,f,sg
2007			
года	год	S	gen,m,sg
дополнительно	дополнительно	ADV	
запланировано	запланировать	V	n,nom,partcp,pass,past,sg
получение	получение	S	acc,n,sg
специализации	специализация	S	f,gen,sg
Advanced			
Routing			
and			
Switching			
и	и	CONJ	
обновление	обновление	S	acc,n,sg
VPN			
Security			
Specialization			
до	до	PR	
новой	новый	A	f,gen,sg
специализации	специализация	S	f,gen,sg
Advanced			
Security			
,			
что	что	SPRO	n,nom
будет	быть	V	3p,pres,sg
соответствовать	соответствовать	V	inf
уровню	уровень	S	dat,m,sg
требований	требование	S	gen,n,pl
,			
предъявляемых	предъявить	V	gen,partcp,pass,pl,pres
к	к	PR	
"			
Золотым	золотой	A	dat,pl
"			
партнерам	партнер	S	dat,m,pl
Cisco			
Systems.			
Полиция	полиция	S	f,nom,sg
сообщила	сообщить	V	f,past,sg
,			
что	что	CONJ	
самоубийца	самоубийца	S	m,nom,sg
тяжело	тяжело	ADV	
ранен	ранить	V	m,nom,partcp,pass,past,sg
,			
а	а	CONJ	
его	его	APRO	
сосед	сосед	S	m,nom,sg
по	по	PR	
этажу	этаж	S	dat,m,sg
погиб	погибнуть	V	m,past,sg
в	в	PR	
огне	огонь	S	loc,m,sg
.			
Таким	такой	APRO	ins,m,sg
образом	образ	S	ins,m,sg
,			
угрозы	угроза	S	f,gen,sg
,			
нависшей	нависнуть	V	act,f,gen,partcp,past,sg
над	над	PR	
знаменитым	знаменитый	A	ins,m,sg
дворцом	дворец	S	ins,m,sg
Цвингер	Цвингер	S	ins,m,sg
,			
в	в	PR	
котором	который	APRO	loc,m,sg
расположена	расположить	V	f,nom,partcp,pass,past,sg
Дрезденская	Дрезденский	A	f,nom,sg
картинная	картинный	A	f,nom,sg
галерея	галерея	S	f,nom,sg
,			
больше	больше	ADV	
не	не	ADV	
существует	существовать	V	3p,pres,sg
.			
На	на	PR	
севере	север	S	loc,m,sg
сектора	сектор	S	gen,m,sg
Газа	Газа	S	gen,m,sg
проходит	проходить	V	3p,pres,sg
ожесточенная	ожесточенный	A	f,nom,sg
перестрелка	перестрелка	S	f,nom,sg
между	между	PR	
израильскими	израильский	A	ins,pl
военнослужащими	военнослужащий	S	ins,m,pl
и	и	CONJ	
палестинцами	палестинец	S	ins,m,pl
2002/08/11/			
На	на	PR	
севере	север	S	loc,m,sg
сектора	сектор	S	gen,m,sg
Газа	Газа	S	gen,m,sg
,			
вблизи	вблизи	ADV	
еврейского	еврейский	A	gen,n,sg
поселения	поселение	S	gen,n,sg
Дугид	Дугид	S	gen,n,sg
,			
в	в	PR	
настоящее	настоящий	A	acc,n,sg
время	время	S	acc,n,sg
проходит	проходить	V	3p,pres,sg
ожесточенная	ожесточенный	A	f,nom,sg
перестрелка	перестрелка	S	f,nom,sg
между	между	PR	
израильскими	израильский	A	ins,pl
военнослужащими	военнослужащий	S	ins,m,pl
и	и	CONJ	
палестинцами	палестинец	S	ins,m,pl
.			
Склады	склад	S	m,nom,pl
крупнейшей	крупный	A	f,gen,sg
в	в	PR	
Благовещенске	Благовещенск	S	loc,m,sg
торговой	торговый	A	f,gen,sg
сети	сеть	S	f,gen,sg
"			
Домострой	Домострой	S	m,nom,sg
"			
почти	почти	ADV	
полностью	полностью	ADV	
сгорели	сгореть	V	past,pl
в	в	PR	
субботу	суббота	S	f,acc,sg
.			
Президентом	президент	S	ins,m,sg
может	мочь	V	3p,pres,sg
быть	быть	V	inf
избран	избрать	V	m,partcp,pass,past,sg,nom
любой	любой	APRO	m,nom,sg
гражданин	гражданин	S	m,nom,sg
Нагорно-Карабахской	Нагорно_Карабахский	A	f,gen,sg
Республики	республика	S	f,gen,sg
,			
достигший	достичь	V	act,m,nom,partcp,past,sg
35			
лет	год	S	gen,m,pl
,			
обладающий	обладать	V	act,m,nom,partcp,pres,sg
избирательным	избирательный	A	ins,n,sg
правом	право	S	ins,n,sg
и	и	CONJ	
постоянно	постоянно	ADV	
или	или	CONJ	
преимущественно	преимущественно	ADV	
проживающий	проживать	V	act,m,nom,partcp,pres,sg
в	в	PR	
НКР	НКР	S	loc,m,sg
в	в	PR	
течение	течение	PR	
последних	последний	A	gen,pl
10			
лет	год	S	gen,m,pl
.			
Для	для	PR	
охраны	охрана	S	f,gen,sg
задействованы	задействовать	V	nom,partcp,pass,past,pl
офицеры	офицер	S	m,nom,pl
Национальной	национальный	A	f,gen,sg
гвардии	гвардия	S	f,gen,sg
,			
представители	представитель	S	m,nom,pl
служб	служба	S	f,gen,pl
безопасности	безопасность	S	f,gen,sg
и	и	CONJ	
ВВС	ВВС	S	f,gen,pl
США	США	S	gen,m,pl
.			
Индекс	индекс	S	m,nom,sg
"			
Нового	новый	A	gen,m,sg
рынка	рынок	S	gen,m,sg
"			
сопротивлялся	сопротивляться	V	m,past,sg
больше	много	ADV	
.			
Потоки	поток	S	m,nom,pl
дождя	дождь	S	gen,m,sg
обрушились	обрушиться	V	past,pl
в	в	PR	
воскресенье	воскресенье	S	acc,n,sg
и	и	CONJ	
на	на	PR	
Берлин	Берлин	S	acc,m,sg
,			
с	с	PR	
окружающей	окружать	V	act,f,ins,partcp,pres,sg
его	он	SPRO	3p,acc,m,sg
землей	земля	S	f,loc,sg
Бранденбург	Бранденбург	S	acc,m,sg
,			
где	где	ADV	
ситуация	ситуация	S	f,nom,sg
,			
конечно	конечно	ADV	
,			
не	не	ADV	
такая	такой	APRO	f,nom,sg
сложная	сложный	A	f,nom,sg
,			
как	как	CONJ	
в	в	PR	
других	другой	A	loc,pl
регионах	регион	S	loc,m,pl
,			
однако	однако	CONJ	
в	в	PR	
течение	течение	PR	
сегодняшнего	сегодняшний	A	gen,m,sg
дня	день	S	gen,m,sg
и	и	CONJ	
здесь	здесь	ADV	
зарегистрировано	зарегистрировать	V	n,nom,partcp,pass,past,sg
выпадение	выпадение	S	n,nom,sg
почти	почти	ADV	
50			
литров	литр	S	gen,m,pl
осадков	осадки	S	gen,pl
на	на	PR	
1			
кв	квадратный	A	acc,m,sg
метр	метр	S	acc,m,sg
площади	площадь	S	f,gen,sg
.			
Точных	точный	A	gen,pl
данных	данные	S	gen,pl
об	об	PR	
их	их	APRO	
местонахождении	местонахождение	S	loc,n,sg
,			
за	за	PR	
исключением	исключение	S	ins,n,sg
обнаруженной	обнаружить	V	f,nom,partcp,pass,past,sg
в	в	PR	
1996			
году	год	S	loc,m,sg
"			
Ловисы-Ульрики	Ловиса-Ульрика	S	f,gen,sg
"			
,			
не	не	ADV	
было	быть	V	n,past,sg
.			
Для	для	PR	
47			
гостей	гость	S	gen,m,pl
фестиваля	фестиваль	S	m,gen,sg
праздник	праздник	S	m,nom,sg
завершился	завершиться	V	m,past,sg
в	в	PR	
вытрезвителях	вытрезвитель	S	loc,m,pl
.			
Полиция	полиция	S	f,nom,sg
считает	считать	V	3p,pres,sg
,			
что	что	CONJ	
"			
холд-ап	холд-ап	S	acc,m,sg
"			
совершили	совершить	V	past,pl
"			
гастролеры	гастролер	S	m,nom,pl
"			
,			
несколько	несколько	ADV	
дней	день	S	gen,m,pl
наблюдавшие	наблюдать	V	act,nom,partcp,past,pl
за	за	PR	
супермаркетом	супермаркет	S	ins,m,sg
и	и	CONJ	
за	за	PR	
передвижениями	передвижение	S	ins,n,pl
его	его	APRO	
директора	директор	S	gen,m,sg
.			
Этому	этот	APRO	dat,n,sg
преобразованию	преобразование	S	dat,n,sg
также	также	CONJ	
препятствует	препятствовать	V	3p,pres,sg
дефицит	дефицит	S	m,nom,sg
различных	различный	A	gen,pl
витаминов	витамин	S	gen,m,pl
и	и	CONJ	
микроэлементов	микроэлемент	S	gen,m,pl
,			
необходимых	необходимый	A	gen,pl
для	для	PR	
катализирующих	катализировать	V	act,gen,partcp,pl,pres
его	он	SPRO	3p,acc,m,sg
ферментов	фермент	S	gen,m,pl
,			
включая	включая	PR	
витамин	витамин	S	acc,m,sg
B3			
(			
никотиновая	никотиновый	A	f,nom,sg
кислота	кислота	S	f,nom,sg
)			
,			
B6			
,			
C			
,			
биотин	биотин	S	m,nom,sg
,			
цинк	цинк	S	m,nom,sg
и	и	CONJ	
магний	магний	S	m,nom,sg
.			
Вызвать	вызвать	V	inf
ее	она	SPRO	3p,acc,f,sg
можно	можно	ADV	
с	с	PR	
помощью	помощь	S	f,ins,sg
php3_ini.directive			
.			
Вот	вот	ADV	
пример	пример	S	m,nom,sg
двойной	двойной	A	f,gen,sg
суммы	сумма	S	f,gen,sg
из	из	PR	
девяти	девять	NUM	gen
членов	член	S	gen,m,pl
,			
управляемой	управляемый	A	f,gen,sg
двумя	два	NUM	ins,m
индексами	индекс	S	ins,m,pl
j			
и	и	CONJ	
к			
:			
Обычно	обычно	ADV	
правление	правление	S	n,nom,sg
бывает	бывать	V	3p,pres,sg
из	из	PR	
девяти	девять	NUM	gen
членов	член	S	gen,m,pl
.			
-			
Я	я	SPRO	1p,nom,sg
пришла	прийти	V	f,past,sg
за	за	PR	
своими	свой	APRO	ins,pl
документами	документ	S	ins,m,pl
,			
товарищ	товарищ	S	m,nom,sg
начальник	начальник	S	m,nom,sg
,			
-			
сказала	сказать	V	f,past,sg
Ефимова	Ефимова	S	f,nom,sg
,			
отстраняясь	отстраняться	V	ger,pres
от	от	PR	
него	он	SPRO	3p,gen,m,sg
.			
А	а	CONJ	
кругом	кругом	ADV	
--			
в	в	PR	
пиццерии	пиццерия	S	f,loc,sg
--			
ели	есть	V	past,pl
и	и	CONJ	
жрали	жрать	V	past,pl
толпы	толпа	S	f,nom,pl
людей	человек	S	gen,m,pl
--			
стоя	стоять	V	ger,pres
,			
сидя	сидеть	V	ger,pres
,			
посреди	посреди	PR	
узкого	узкий	A	gen,m,sg
прохода	проход	S	gen,m,sg
.			
И	и	CONJ	
наконец	наконец	ADV	
,			
он	он	SPRO	3p,m,nom,sg
жалел	жалеть	V	m,past,sg
свой	свой	APRO	acc,m,sg
потерянный	потерянный	A	acc,m,sg
ум	ум	S	acc,m,sg
,			
который	который	APRO	m,nom,sg
--			
после	после	PR	
смерти	смерть	S	f,gen,sg
--			
уже	уже	ADV	
не	не	ADV	
сможет	смочь	V	3p,pres,sg
ни	ни	CONJ	
о	о	PR	
чем	что	SPRO	loc,n,sg
думать	думать	V	inf
.			
Либо	либо	CONJ	
об	об	PR	
акулах	акула	S	f,loc,pl
,			
что	что	SPRO	n,nom,sg
кому	кто	SPRO	dat,m,sg
понятней	понятный	A	comp
.			
Вода	вода	S	f,nom,sg
в	в	PR	
банке	банка	S	f,loc,sg
начала	начать	V	f,past,sg
нагреваться	нагреваться	V	inf
.			
Светлана	Светлана	S	f,nom,sg
Багатурия	Багатурия	S	f,nom,sg
подперла	подпереть	V	f,past,sg
кулачком	кулачок	S	ins,m,sg
подбородок	подбородок	S	acc,m,sg
и	и	CONJ	
даже	даже	ADV	
рот	рот	S	acc,m,sg
открыла	открыть	V	f,past,sg
от	от	PR	
проникновения	проникновение	S	gen,n,sg
.			
А	а	ADV	
что	что	SPRO	acc,n,sg
дальше	дальше	ADV	
?			
Но	но	CONJ	
начлага	начлага	S	m,nom,sg
опять	опять	ADV	
и	и	CONJ	
опять	опять	ADV	
не	не	ADV	
мог	мочь	V	m,past,sg
.			
А	а	ADV	
директор	директор	S	m,nom,sg
посмеивался	посмеиваться	V	m,past,sg
.			
Бывают	бывать	V	3p,pl,pres
же	же	ADV	
ужасы	ужас	S	m,nom,pl
...			
У	у	PR	
меня	я	SPRO	1p,gen,sg
есть	быть	V	3p,pres,sg
такой	такой	APRO	m,nom,sg
вопрос	вопрос	S	m,nom,sg
:			
платят	платить	V	3p,pl,pres
ли	ли	ADV	
в	в	PR	
июле-	июль	S	loc,m,sg
августе	август	S	loc,m,sg
стипендию	стипендия	S	acc,f,sg
?			
А	а	CONJ	
это	это	SPRO	n,nom,sg
ссылка	ссылка	S	f,nom,sg
на	на	PR	
предварительные	предварительный	A	acc,pl
итоги	итог	S	acc,m,pl
по	по	PR	
каждой	каждый	APRO	f,dat,sg
позиции	позиция	S	f,dat,sg
,			
кто	кто	SPRO	m,nom,sg
скока	скока	ADV	
голосов	голос	S	gen,m,pl
набрал	набрать	V	m,past,sg
к	к	PR	
этому	этот	APRO	dat,m,sg
моменту	момент	S	dat,m,sg
.			
http://www.nba.com/news/allstar_031211.html			
Кириленко	Кириленко	S	acc,sg
--			
в	в	PR	
основу	основа	S	acc,f,sg
!			
Давайте-	давайте	V	1p,imper,pl
ка	ка	ADV	
поразмыслим	поразмыслить	V	1p,pl,pres
.			
.			
.			
Ну	ну	ADV	
я	я	SPRO	1p,nom,sg
бы	бы	ADV	
не	не	ADV	
сказал	сказать	V	m,past,sg
что	что	CONJ	
все	все	ADV	
таки	таки	ADV	
уровень	уровень	S	m,nom,sg
падает	падать	V	3p,pres,sg
....			
Как	как	ADV	
это	это	ADV	
Петрович	Петр	S	m,nom,sg
собирается	собираться	V	3p,pres,sg
строить	строить	V	inf
игру	игра	S	acc,f,sg
команды	команда	S	f,gen,sg
вокруг	вокруг	PR	
неиграющего	неиграющий	A	gen,m,sg
Ковенаги	Ковенаги	S	gen,m,sg
?			
Созданная	создать	V	f,nom,partcp,pass,past,sg
в	в	PR	
процессе	процесс	S	loc,m,sg
диверсификации	диверсификация	S	f,gen,sg
бизнеса	бизнес	S	gen,m,sg
